Ardyn(NullPointerBug,1,1);Bahamut(NullPointerBug,1,2);Chaos(NullPointerBug,1,3);Emet-Selch(NullPointerBug,1,4);Gilgamesh(NullPointerBug,1,5);Kefka(ConcurrentModificationBug,1,6);Memiroa(ConcurrentModificationBug,1,7);Necron(ConcurrentModificationBug,1,8);Sephiroth(ConcurrentModificationBug,1,9);Ultimecia(NoneTerminationBug,1,10)
Ardyn(NullPointerBug,2,1);Bahamut(NullPointerBug,2,2);Chaos(NullPointerBug,2,3);Emet-Selch(NullPointerBug,2,4);Gilgamesh(NullPointerBug,2,5);Kefka(ConcurrentModificationBug,2,6);Memiroa(ConcurrentModificationBug,2,7);Necron(ConcurrentModificationBug,2,8);Sephiroth(ConcurrentModificationBug,2,9);Ultimecia(NoneTerminationBug,2,10)
Ardyn(NullPointerBug,3,1);Bahamut(NullPointerBug,3,2);Chaos(NullPointerBug,3,3);Emet-Selch(NullPointerBug,3,4);Gilgamesh(NullPointerBug,3,5);Kefka(ConcurrentModificationBug,3,6);Memiroa(ConcurrentModificationBug,3,7);Necron(ConcurrentModificationBug,3,8);Sephiroth(ConcurrentModificationBug,3,9);Ultimecia(NoneTerminationBug,3,10)
Ardyn(NullPointerBug,4,1);Bahamut(NullPointerBug,4,2);Chaos(NullPointerBug,4,3);Emet-Selch(NullPointerBug,4,4);Gilgamesh(NullPointerBug,4,5);Kefka(ConcurrentModificationBug,4,6);Memiroa(ConcurrentModificationBug,4,7);Necron(ConcurrentModificationBug,4,8);Sephiroth(ConcurrentModificationBug,4,9);Ultimecia(NoneTerminationBug,4,10)
Ardyn(NullPointerBug,5,1);Bahamut(NullPointerBug,5,2);Chaos(NullPointerBug,5,3);Emet-Selch(NullPointerBug,5,4);Gilgamesh(NullPointerBug,5,5);Kefka(ConcurrentModificationBug,5,6);Memiroa(ConcurrentModificationBug,5,7);Necron(ConcurrentModificationBug,5,8);Sephiroth(ConcurrentModificationBug,5,9);Ultimecia(NoneTerminationBug,5,10)
Ardyn(NullPointerBug,6,1);Bahamut(NullPointerBug,6,2);Chaos(NullPointerBug,6,3);Emet-Selch(NullPointerBug,6,4);Gilgamesh(NullPointerBug,6,5);Kefka(ConcurrentModificationBug,6,6);Memiroa(ConcurrentModificationBug,6,7);Necron(ConcurrentModificationBug,6,8);Sephiroth(ConcurrentModificationBug,6,9);Ultimecia(NoneTerminationBug,6,10)
Ardyn(NullPointerBug,7,1);Bahamut(NullPointerBug,7,2);Chaos(NullPointerBug,7,3);Emet-Selch(NullPointerBug,7,4);Gilgamesh(NullPointerBug,7,5);Kefka(ConcurrentModificationBug,7,6);Memiroa(ConcurrentModificationBug,7,7);Necron(ConcurrentModificationBug,7,8);Sephiroth(ConcurrentModificationBug,7,9);Ultimecia(NoneTerminationBug,7,10)
Ardyn(NullPointerBug,8,1);Bahamut(NullPointerBug,8,2);Chaos(NullPointerBug,8,3);Emet-Selch(NullPointerBug,8,4);Gilgamesh(NullPointerBug,8,5);Kefka(ConcurrentModificationBug,8,6);Memiroa(ConcurrentModificationBug,8,7);Necron(ConcurrentModificationBug,8,8);Sephiroth(ConcurrentModificationBug,8,9);Ultimecia(NoneTerminationBug,8,10)
Ardyn(NullPointerBug,9,1);Bahamut(NullPointerBug,9,2);Chaos(NullPointerBug,9,3);Emet-Selch(NullPointerBug,9,4);Gilgamesh(NullPointerBug,9,5);Kefka(ConcurrentModificationBug,9,6);Memiroa(ConcurrentModificationBug,9,7);Necron(ConcurrentModificationBug,9,8);Sephiroth(ConcurrentModificationBug,9,9);Ultimecia(NoneTerminationBug,9,10)
Ardyn(NullPointerBug,10,1);Bahamut(NullPointerBug,10,2);Chaos(NullPointerBug,10,3);Emet-Selch(NullPointerBug,10,4);Gilgamesh(NullPointerBug,10,5);Kefka(ConcurrentModificationBug,10,6);Memiroa(ConcurrentModificationBug,10,7);Necron(ConcurrentModificationBug,10,8);Sephiroth(ConcurrentModificationBug,10,9);Ultimecia(NoneTerminationBug,10,10)
Ardyn(NullPointerBug,11,1);Bahamut(NullPointerBug,11,2);Chaos(NullPointerBug,11,3);Emet-Selch(NullPointerBug,11,4);Gilgamesh(NullPointerBug,11,5);Kefka(ConcurrentModificationBug,11,6);Memiroa(ConcurrentModificationBug,11,7);Necron(ConcurrentModificationBug,11,8);Sephiroth(ConcurrentModificationBug,11,9);Ultimecia(NoneTerminationBug,11,10)
