Timestamp,Latitude,Longitude,MinSeaLevelPressure,MaxIntensity
0000 UTC SEP 14,17.5 N,-28.2 W,1008 mb,30 knots
0600 UTC SEP 14,18.0 N,-28.3 W,1006 mb,35 knots
1200 UTC SEP 14,18.5 N,-28.6 W,1003 mb,40 knots
1800 UTC SEP 14,19.0 N,-29.1 W,1002 mb,45 knots
0000 UTC SEP 15,19.5 N,-29.6 W,1002 mb,45 knots
0600 UTC SEP 15,20.0 N,-30.1 W,1002 mb,45 knots
1200 UTC SEP 15,20.5 N,-30.8 W,1001 mb,45 knots
1800 UTC SEP 15,21.0 N,-31.6 W,1001 mb,45 knots
0000 UTC SEP 16,21.4 N,-32.6 W,1004 mb,45 knots
0600 UTC SEP 16,21.5 N,-33.5 W,1005 mb,40 knots
1200 UTC SEP 16,21.4 N,-34.3 W,1007 mb,35 knots
1800 UTC SEP 16,21.5 N,-35.0 W,1007 mb,35 knots
0000 UTC SEP 17,21.6 N,-35.6 W,1007 mb,35 knots
0600 UTC SEP 17,21.7 N,-36.4 W,1008 mb,35 knots
1200 UTC SEP 17,21.6 N,-37.6 W,1008 mb,30 knots
1800 UTC SEP 17,21.3 N,-38.7 W,1008 mb,25 knots
0000 UTC SEP 18,20.8 N,-39.4 W,1009 mb,25 knots
0600 UTC SEP 18,20.5 N,-40.2 W,1009 mb,25 knots
1200 UTC SEP 18,20.4 N,-41.0 W,1009 mb,25 knots
1800 UTC SEP 18,20.3 N,-41.9 W,1009 mb,25 knots
0000 UTC SEP 19,20.1 N,-42.9 W,1010 mb,20 knots
0600 UTC SEP 19,19.9 N,-44.0 W,1011 mb,20 knots
1200 UTC SEP 19,19.6 N,-45.1 W,1011 mb,20 knots
1800 UTC SEP 19,19.3 N,-46.3 W,1012 mb,20 knots
